tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu
Casa,Jardim Colorado,Rua Orlando Lopes,30.0,1,1,1.0,600,,
Apartamento,Jardim Tijuca,Rua Mona Lisa,10.0,1,1,1.0,650,,
Casa,Tiradentes,Avenida Rouxinol,38.0,1,1,,650,,47.0
Apartamento,Centro,Rua Sete de Setembro,10.0,1,1,,680,,65.0
Apartamento,Jardim Monte Líbano,Rua José Luiz Pereira,46.0,2,1,,700,,52.0
Apartamento,Amambaí,Rua Marechal Rondon,40.0,1,1,,750,,
Casa,Jardim Paulista,Rua Quintino Bocaiúva,10.0,1,1,1.0,750,,
Apartamento,Bairro Seminário,Avenida Prefeito Heráclito José Diniz de Figueiredo,10.0,2,1,1.0,800,,
Apartamento,Monte Castelo,Rua Quatorze de Julho,50.0,2,1,1.0,800,345.0,95.0
Apartamento,Jardim Centro Oeste,Rua Ana Jacinta de Oliveira,100.0,1,1,1.0,800,,
Apartamento,Jardim do Zé Pereira,Avenida Engenheiro Amélio Carvalho Bais,30.0,1,1,,800,,
Apartamento,Jardim São Lourenço,Rua Tibiriçá,40.0,1,2,,800,,
Apartamento,Vila Almeida,Rua Presidente Nilo Peçanha,10.0,1,1,,800,,
Casa,Jardim São Conrado,Rua Coronel Athos P. da Silveira,50.0,2,1,1.0,800,,200.0
Casa,Panamá,Rua Palestina,60.0,1,1,2.0,850,,
Casa,Vila Bandeirante,Rua Brilhante,65.0,3,1,1.0,850,,
Casa,Amambaí,Rua Pimenta Bueno,38.0,1,1,1.0,850,,66.0
Apartamento,Amambaí,Rua Marechal Rondon,40.0,1,1,,850,,
Casa,Amambaí,Rua Pimenta Bueno,87.0,1,1,1.0,850,,167.0
Casa,Vila Almeida,Rua Presidente Artur Bernardes,45.0,1,1,2.0,900,,
Apartamento,Varandas do Campo,Rua Maria de Lourdes Vieira Matos,47.0,2,1,1.0,900,,
Apartamento,Vila Ipiranga,Rua Francisco Alves Castelo,45.0,1,1,,900,,
Apartamento,Jardim Centenário,Rua Rodrigues de Melo,50.0,2,1,,900,,
Apartamento,Vila Sílvia Regina,Rua Dona Maria II,40.0,1,1,1.0,900,,
Apartamento,Jardim Centenário,Rua José Carlos Silva de Almeida,44.0,2,1,1.0,950,,
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,52.0,2,1,1.0,950,404.0,
Apartamento,Jardim Centenário,Rua José Carlos Silva de Almeida,44.0,2,1,1.0,950,,
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,59.0,2,1,1.0,950,412.0,
Casa,Vila Palmira,Rua Tokio,70.0,2,2,2.0,950,,50.0
Apartamento,Vila Taveirópolis,Rua Albert Sabin,38.0,1,1,,950,,
Casa,Jardim Centenário,,50.0,2,1,1.0,990,,
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45.0,2,1,1.0,1000,412.0,
Apartamento,Tiradentes,Avenida Marquês de Pombal,50.0,2,1,1.0,1000,400.0,109.0
Casa,Vivendas do Parque,Rua Esmeraldo Serra,,2,1,1.0,1000,,
Apartamento,Jardim Morenão,Rua Cascais,46.0,2,1,1.0,1000,,
Apartamento,Centro,Rua Doutor Arthur Jorge,77.0,2,1,1.0,1000,600.0,195.0
Apartamento,Vila Progresso,Avenida Costa e Silva,108.0,3,1,,1000,,150.0
Apartamento,Bairro Seminário,Rua Santo Aleixo,10.0,1,1,1.0,1000,,64.0
Casa,Vila Nova Campo Grande,Rua 56,50.0,1,1,,1000,,30.0
Casa,Jardim Jacy,Rua Nova Bandeirantes,71.0,1,1,1.0,1000,,67.0
Apartamento,Jardim das Nações,Rua Luis Coutinho,60.0,2,1,1.0,1000,335.0,102.0
Casa,Residencial Figueiras do Parque,Rua dos Marmeleiros,60.0,2,1,1.0,1000,,60.0
Casa,Tiradentes,Rua Jacarepaguá,50.0,1,1,1.0,1000,,54.0
Apartamento,Monte Castelo,Rua Pio Rojas,70.0,2,1,1.0,1000,470.0,175.0
Casa,Santa Mônica,Rua Calaveras,100.0,2,2,2.0,1050,,
Apartamento,Jardim Itatiaia,Rua Domingos de Moraes,45.0,2,1,1.0,1100,,
