tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu,eh_condo
Casa,Jardim Colorado,Rua Orlando Lopes,30,1,1,1.0,600,0.0,0.0,0
Apartamento,Jardim Tijuca,Rua Mona Lisa,10,1,1,1.0,650,0.0,0.0,0
Casa,Tiradentes,Avenida Rouxinol,38,1,1,1.0,650,0.0,47.0,0
Apartamento,Centro,Rua Sete de Setembro,10,1,1,1.0,680,0.0,65.0,0
Apartamento,Jardim Monte Líbano,Rua José Luiz Pereira,46,2,1,1.0,700,0.0,52.0,0
Apartamento,Amambaí,Rua Marechal Rondon,40,1,1,1.0,750,0.0,0.0,0
Casa,Jardim Paulista,Rua Quintino Bocaiúva,10,1,1,1.0,750,0.0,0.0,0
Apartamento,Bairro Seminário,Avenida Prefeito Heráclito José Diniz de Figueiredo,10,2,1,1.0,800,0.0,0.0,0
Apartamento,Monte Castelo,Rua Quatorze de Julho,50,2,1,1.0,800,345.0,95.0,1
Apartamento,Jardim Centro Oeste,Rua Ana Jacinta de Oliveira,100,1,1,1.0,800,0.0,0.0,0
Apartamento,Jardim do Zé Pereira,Avenida Engenheiro Amélio Carvalho Bais,30,1,1,1.0,800,0.0,0.0,0
Apartamento,Jardim São Lourenço,Rua Tibiriçá,40,1,2,1.0,800,0.0,0.0,0
Apartamento,Vila Almeida,Rua Presidente Nilo Peçanha,10,1,1,1.0,800,0.0,0.0,0
Casa,Jardim São Conrado,Rua Coronel Athos P. da Silveira,50,2,1,1.0,800,0.0,200.0,0
Casa,Panamá,Rua Palestina,60,1,1,2.0,850,0.0,0.0,0
Casa,Vila Bandeirante,Rua Brilhante,65,3,1,1.0,850,0.0,0.0,0
Casa,Amambaí,Rua Pimenta Bueno,38,1,1,1.0,850,0.0,66.0,0
Apartamento,Amambaí,Rua Marechal Rondon,40,1,1,1.0,850,0.0,0.0,0
Casa,Amambaí,Rua Pimenta Bueno,87,1,1,1.0,850,0.0,167.0,0
Casa,Vila Almeida,Rua Presidente Artur Bernardes,45,1,1,2.0,900,0.0,0.0,0
Apartamento,Varandas do Campo,Rua Maria de Lourdes Vieira Matos,47,2,1,1.0,900,0.0,0.0,0
Apartamento,Vila Ipiranga,Rua Francisco Alves Castelo,45,1,1,1.0,900,0.0,0.0,0
Apartamento,Jardim Centenário,Rua Rodrigues de Melo,50,2,1,1.0,900,0.0,0.0,0
Apartamento,Vila Sílvia Regina,Rua Dona Maria II,40,1,1,1.0,900,0.0,0.0,0
Apartamento,Jardim Centenário,Rua José Carlos Silva de Almeida,44,2,1,1.0,950,0.0,0.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,52,2,1,1.0,950,404.0,0.0,1
Apartamento,Jardim Centenário,Rua José Carlos Silva de Almeida,44,2,1,1.0,950,0.0,0.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,59,2,1,1.0,950,412.0,0.0,1
Casa,Vila Palmira,Rua Tokio,70,2,2,2.0,950,0.0,50.0,0
Apartamento,Vila Taveirópolis,Rua Albert Sabin,38,1,1,1.0,950,0.0,0.0,0
Casa,Jardim Centenário,,50,2,1,1.0,990,0.0,0.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45,2,1,1.0,1000,412.0,0.0,1
Apartamento,Tiradentes,Avenida Marquês de Pombal,50,2,1,1.0,1000,400.0,109.0,1
Casa,Vivendas do Parque,Rua Esmeraldo Serra,64,2,1,1.0,1000,0.0,0.0,0
Apartamento,Jardim Morenão,Rua Cascais,46,2,1,1.0,1000,0.0,0.0,0
Apartamento,Centro,Rua Doutor Arthur Jorge,77,2,1,1.0,1000,600.0,195.0,1
Apartamento,Vila Progresso,Avenida Costa e Silva,108,3,1,1.0,1000,0.0,150.0,0
Apartamento,Bairro Seminário,Rua Santo Aleixo,10,1,1,1.0,1000,0.0,64.0,0
Casa,Vila Nova Campo Grande,Rua 56,50,1,1,1.0,1000,0.0,30.0,0
Casa,Jardim Jacy,Rua Nova Bandeirantes,71,1,1,1.0,1000,0.0,67.0,0
Apartamento,Jardim das Nações,Rua Luis Coutinho,60,2,1,1.0,1000,335.0,102.0,1
Casa,Residencial Figueiras do Parque,Rua dos Marmeleiros,60,2,1,1.0,1000,0.0,60.0,0
Casa,Tiradentes,Rua Jacarepaguá,50,1,1,1.0,1000,0.0,54.0,0
Apartamento,Monte Castelo,Rua Pio Rojas,70,2,1,1.0,1000,470.0,175.0,1
Casa,Santa Mônica,Rua Calaveras,100,2,2,2.0,1050,0.0,0.0,0
Apartamento,Jardim Itatiaia,Rua Domingos de Moraes,45,2,1,1.0,1100,0.0,0.0,0
Casa,Vila Glória,Rua Vinte e Quatro de Outubro,70,2,1,1.0,1100,0.0,0.0,0
Apartamento,Vila Ipiranga,Rua Francisco Alves Castelo,10,2,1,1.0,1100,100.0,0.0,1
Apartamento,Jardim Paradiso,Rua Antônio Rufino de Souza,50,2,1,1.0,1100,650.0,103.0,1
Apartamento,Jardim das Nações,Rua Luis Coutinho,64,2,1,1.0,1150,360.0,0.0,1
Apartamento,Coophasul,Rua Sargento Hércules Santos de Campos,49,2,1,1.0,1150,198.0,91.0,1
Apartamento,Santa Fé,Avenida Mato Grosso,32,1,1,1.0,1150,0.0,0.0,0
Apartamento,Centro,Rua Antônio Maria Coelho,116,2,1,1.0,1180,160.0,147.0,1
Apartamento,Tiradentes,Rua José Nogueira Vieira,64,2,1,1.0,1190,275.0,130.0,1
Apartamento,Residencial Oliveira,Rua Petrópolis,50,2,1,1.0,1200,390.0,104.0,1
Casa,Centro,Travessa Pepe Simioli,75,2,1,1.0,1200,0.0,0.0,0
Apartamento,Monte Castelo,,50,2,1,1.0,1200,400.0,124.0,1
Apartamento,Jardim Jerusalém,Avenida João Garcia de Carvalho Filho,61,2,1,1.0,1200,225.0,165.0,1
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,48,2,1,1.0,1200,215.0,75.0,1
Casa,Amambaí,Rua Terenos,60,2,1,1.0,1200,50.0,85.0,1
Apartamento,Monte Castelo,Rua Bahia,30,1,1,1.0,1200,100.0,178.0,1
Apartamento,Nova Lima,Rua Firmo Cristaldo,47,2,1,1.0,1200,0.0,0.0,0
Casa,Vila Taveirópolis,Rua da Pátria,68,2,1,1.0,1200,0.0,0.0,0
Apartamento,Vila Glória,Rua Jornalista Belizário Lima,45,1,1,1.0,1200,0.0,0.0,0
Casa,Jardim Centro Oeste,Avenida dos Cafezais,50,2,1,1.0,1200,0.0,0.0,0
Casa,Jardim Paulista,Rua Trindade,83,2,2,1.0,1200,0.0,0.0,0
Casa,Jardim Itamaracá,,100,2,1,1.0,1250,0.0,0.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,47,2,1,1.0,1250,317.0,77.0,1
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,52,2,2,1.0,1250,405.0,120.0,1
Apartamento,Jardim Tijuca,Rua Serra Azul,51,2,1,1.0,1250,298.0,81.0,1
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,52,1,1,1.0,1250,0.0,0.0,0
Apartamento,Monte Castelo,Rua Quatorze de Julho,60,2,1,1.0,1280,0.0,0.0,0
Apartamento,Jardim Nossa Senhora do Perpétuo Socorro,Rua Filomena Segundo Nascimento,89,2,1,1.0,1300,0.0,0.0,0
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,45,2,1,1.0,1300,0.0,0.0,0
Casa,Vila Nossa Senhora das Graças,Rua João Ramalho,45,2,1,1.0,1300,0.0,0.0,0
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,50,2,1,1.0,1300,0.0,0.0,0
Casa,Jardim São Conrado,Rua Ponta da Praia,60,2,1,2.0,1300,0.0,0.0,0
Casa,Coophavila II,Rua Pastor Virgílio Faria,85,1,1,2.0,1300,0.0,0.0,0
Casa,Tiradentes,Rua Romeu Alves Camargo,65,2,1,1.0,1300,0.0,0.0,0
Casa,Vila Marcos Roberto,Rua do Himalaia,65,2,1,2.0,1300,200.0,98.0,1
Casa,Monte Castelo,Rua São Paulo,60,2,1,1.0,1300,0.0,155.0,0
Casa,Jardim das Nações,Rua Seisuke Zaha,80,3,1,2.0,1300,0.0,82.0,0
Apartamento,Vila Glória,Rua Jornalista Belizário Lima,84,2,2,1.0,1300,215.0,154.0,1
Casa,Vivendas do Parque,Rua Mombassa,45,2,1,1.0,1300,0.0,0.0,0
Casa,Jardim Imá,Rua São Luiz,60,2,1,1.0,1300,0.0,0.0,0
Apartamento,Residencial Ana Maria do Couto,Rua Marina Luiza Spengler,80,3,1,1.0,1300,0.0,0.0,0
Casa,Conjunto Parati II,,100,2,1,3.0,1300,0.0,0.0,0
Casa,Vila Moreninha II,Rua Anani,80,4,2,2.0,1300,0.0,92.0,0
Apartamento,Jardim Paradiso,Rua Antônio Rufino de Souza,60,2,1,1.0,1320,250.0,105.0,1
